mapped_owner,missing_owner,official_name,descriptor,mapped_named,mapped_source
com/corrodinggames/rts/gameFramework/m/e,com/corrodinggames/rts/gameFramework/m/ad,m,()I,getWidth,v0.22-final-asset-loader
com/corrodinggames/rts/gameFramework/m/e,com/corrodinggames/rts/java/a,m,()I,getWidth,v0.22-final-asset-loader
com/corrodinggames/rts/gameFramework/m/e,com/corrodinggames/rts/gameFramework/m/ad,o,()V,releaseBitmap,v0.22-final-asset-loader
com/corrodinggames/rts/gameFramework/m/e,com/corrodinggames/rts/java/a,o,()V,releaseBitmap,v0.22-final-asset-loader
com/corrodinggames/rts/gameFramework/m/e,com/corrodinggames/rts/java/s,o,()V,releaseBitmap,v0.22-final-asset-loader
com/corrodinggames/rts/gameFramework/m/e,com/corrodinggames/rts/gameFramework/m/ad,p,()V,flushPixelBufferToBitmap,v0.22-final-asset-loader
com/corrodinggames/rts/gameFramework/m/e,com/corrodinggames/rts/java/a,p,()V,flushPixelBufferToBitmap,v0.22-final-asset-loader
com/corrodinggames/rts/gameFramework/m/e,com/corrodinggames/rts/java/s,p,()V,flushPixelBufferToBitmap,v0.22-final-asset-loader
com/corrodinggames/rts/gameFramework/m/e,com/corrodinggames/rts/gameFramework/m/ad,r,()V,dropPixelBuffer,v0.22-final-asset-loader
com/corrodinggames/rts/gameFramework/m/e,com/corrodinggames/rts/java/a,r,()V,dropPixelBuffer,v0.22-final-asset-loader
com/corrodinggames/rts/gameFramework/m/e,com/corrodinggames/rts/java/s,r,()V,dropPixelBuffer,v0.22-final-asset-loader
com/corrodinggames/rts/gameFramework/m/e,com/corrodinggames/rts/gameFramework/m/ad,u,()I,estimateMemoryBytes,v0.22-final-asset-loader
com/corrodinggames/rts/gameFramework/m/e,com/corrodinggames/rts/gameFramework/m/h,u,()I,estimateMemoryBytes,v0.22-final-asset-loader
com/corrodinggames/rts/gameFramework/m/e,com/corrodinggames/rts/java/a,u,()I,estimateMemoryBytes,v0.22-final-asset-loader
com/corrodinggames/rts/gameFramework/m/e,com/corrodinggames/rts/gameFramework/m/ad,v,()V,clearTeamImageCaches,v0.22-final-asset-loader
com/corrodinggames/rts/gameFramework/m/e,com/corrodinggames/rts/java/a,v,()V,clearTeamImageCaches,v0.22-final-asset-loader
com/corrodinggames/rts/gameFramework/m/y,com/corrodinggames/rts/java/e,a,(IIZ)Lcom/corrodinggames/rts/gameFramework/m/e;,createImage,v0.22-final-asset-loader
com/corrodinggames/rts/gameFramework/m/y,com/corrodinggames/rts/java/e,a,(Lcom/corrodinggames/rts/gameFramework/m/ae;)V,compileShader,v0.56-render-canvas-command-buffer
com/corrodinggames/rts/gameFramework/m/y,com/corrodinggames/rts/java/e,a,(Ljava/io/InputStream;Z)Lcom/corrodinggames/rts/gameFramework/m/e;,loadImageFromStream,v0.22-final-asset-loader
com/corrodinggames/rts/gameFramework/m/y,com/corrodinggames/rts/java/e,r,()Lcom/corrodinggames/rts/gameFramework/m/e;,getErrorImage,v0.22-final-asset-loader
